time_step,timestamp,P_cmd,total_P_actual,total_available_energy,total_available_power,P_氢燃料电池,SOC_氢燃料电池,E_available_氢燃料电池,P_铁硫电池,SOC_铁硫电池,E_available_铁硫电池,P_钠电池,SOC_钠电池,E_available_钠电池,P_钒液流电池,SOC_钒液流电池,E_available_钒液流电池
58,2025-12-13 09:29:11.740879,-39.18236293351109,-39.18236293351109,201.11483492070047,88,-19.732796657421034,79.55189064470035,95.46226877364042,-1.6442492508961966,84.55298371818685,8.455298371818685,-16.173900468128334,89.72336865840232,89.72336865840232,-1.631416557065519,74.63460904756946,7.463460904756945
59,2025-12-13 09:29:12.740879,-35.664240475520664,-35.664240475520664,201.10439670861837,88,-17.960949017416535,79.54794089896735,95.45752907876081,-1.4965891630159671,84.54915910143693,8.454915910143693,-14.721806383052792,89.7193610555536,89.7193610555536,-1.4848959120353713,74.63089680778937,7.463089680778937
60,2025-12-13 09:29:13.740879,-34.50201556751108,-34.50201556751108,201.09489572523708,88,-17.37557579384068,79.54411988114232,95.45294385737078,-1.447795887131401,84.54545917861425,8.454545917861424,-14.242171443734154,89.71548401999392,89.71548401999392,-1.4364724428048408,74.62730562668236,7.462730562668236
61,2025-12-13 09:29:14.740879,-33.41193216876994,-33.41193216876994,201.08570435789437,88,-16.82653986198925,79.54041960038563,95.44850352046276,-1.4020320453669277,84.54187620783165,8.454187620783165,-13.792304436327704,89.7117294482307,89.7117294482307,-1.3910558250860525,74.62382798711964,7.462382798711964
62,2025-12-13 09:29:15.740879,-31.217539384719476,-31.217539384719476,201.07680338818858,88,-15.721371611755051,79.5369623543136,95.44435482517632,-1.3099318536754867,84.5385286042056,8.45385286042056,-12.88656893226526,89.70822143779914,89.70822143779914,-1.2996669870236774,74.62057881965208,7.462057881965208
63,2025-12-13 09:29:16.740879,-28.312248839764887,-28.312248839764887,201.06848700536125,88,-14.258202083838343,79.53382687005906,95.44059224407087,-1.188005643506294,84.5354925897833,8.453549258978331,-11.687353098845104,89.70503988056667,89.70503988056667,-1.1786880135751434,74.61763209961815,7.4617632099618145
64,2025-12-13 09:29:17.740879,-28.35707148501789,-28.35707148501789,201.0609445935777,88,-14.280734283651142,79.53068643080687,95.43682371696823,-1.1898717888513013,84.53245180632291,8.45324518063229,-11.705933335670766,89.70185326538085,89.70185326538085,-1.1805320768446823,74.61468076942603,7.461468076942603
65,2025-12-13 09:29:18.740879,-27.702754188337543,-27.702754188337543,201.05339023992397,88,-13.95117764460995,79.52761846350076,95.43314215620092,-1.1624020953263576,84.52948122319042,8.452948122319041,-11.435903729137259,89.69874015825458,89.69874015825458,-1.1532707192639742,74.61179759262787,7.461179759262787
66,2025-12-13 09:29:19.740879,-25.346084077372865,-25.34608407737287,201.04601019603734,88,-12.764316968933903,79.52481149564879,95.42977379477855,-1.0635038778792147,84.52676337994694,8.452676337994694,-10.463120330773,89.69589186438675,89.69589186438675,-1.055142899786748,74.6091597353784,7.46091597353784
67,2025-12-13 09:29:20.740879,-21.41647115911052,-21.416471159110518,201.03925797069786,88,-10.785331889235781,79.522439721275,95.42692766553,-0.898610184555388,84.52446693169752,8.452446693169751,-8.840988559060348,89.69348515083456,89.69348515083456,-0.8915405262590038,74.60693088406275,7.460693088406275
